"number","frame.time","ip.src","ip.dst","tcp.port","frame.len"
"66","Oct 22, 2017 12:46:44.367475000 CEST","192.168.1.142","23.211.10.90","54406","66"
"67","Oct 22, 2017 12:46:44.367506000 CEST","23.211.10.90","192.168.1.142","443","1506"
"68","Oct 22, 2017 12:46:44.367547000 CEST","192.168.1.142","23.211.10.90","54406","66"
"69","Oct 22, 2017 12:46:44.367575000 CEST","23.211.10.90","192.168.1.142","443","1506"
"70","Oct 22, 2017 12:46:44.367611000 CEST","192.168.1.142","23.211.10.90","54406","66"
"71","Oct 22, 2017 12:46:44.367640000 CEST","23.211.10.90","192.168.1.142","443","460"
"72","Oct 22, 2017 12:46:44.367680000 CEST","192.168.1.142","23.211.10.90","54406","66"
"73","Oct 22, 2017 12:46:44.367701000 CEST","23.211.10.90","192.168.1.142","443","194"
"74","Oct 22, 2017 12:46:44.367735000 CEST","192.168.1.142","23.211.10.90","54406","66"
"75","Oct 22, 2017 12:46:44.367763000 CEST","23.211.10.90","192.168.1.142","443","1506"
"76","Oct 22, 2017 12:46:44.367803000 CEST","192.168.1.142","23.211.10.90","54406","66"
"77","Oct 22, 2017 12:46:44.367829000 CEST","23.211.10.90","192.168.1.142","443","225"
"78","Oct 22, 2017 12:46:44.367865000 CEST","192.168.1.142","23.211.10.90","54406","66"
"79","Oct 22, 2017 12:46:44.367931000 CEST","23.211.10.90","192.168.1.142","443","194"
"80","Oct 22, 2017 12:46:44.367973000 CEST","192.168.1.142","23.211.10.90","54406","66"
"81","Oct 22, 2017 12:46:44.367998000 CEST","23.211.10.90","192.168.1.142","443","108"
"82","Oct 22, 2017 12:46:44.368032000 CEST","192.168.1.142","23.211.10.90","54406","66"
"83","Oct 22, 2017 12:46:44.368059000 CEST","23.211.10.90","192.168.1.142","443","194"
"84","Oct 22, 2017 12:46:44.368093000 CEST","192.168.1.142","23.211.10.90","54406","66"
"85","Oct 22, 2017 12:46:44.368188000 CEST","23.211.10.90","192.168.1.142","443","1506"
"86","Oct 22, 2017 12:46:44.368230000 CEST","192.168.1.142","23.211.10.90","54406","66"
"87","Oct 22, 2017 12:46:44.369281000 CEST","23.211.10.90","192.168.1.142","443","1506"
"88","Oct 22, 2017 12:46:44.369325000 CEST","192.168.1.142","23.211.10.90","54406","66"
"89","Oct 22, 2017 12:46:44.369360000 CEST","23.211.10.90","192.168.1.142","443","1498"
"90","Oct 22, 2017 12:46:44.369412000 CEST","192.168.1.142","23.211.10.90","54406","66"
"91","Oct 22, 2017 12:46:44.369441000 CEST","23.211.10.90","192.168.1.142","443","1506"
"92","Oct 22, 2017 12:46:44.369476000 CEST","192.168.1.142","23.211.10.90","54406","66"
"93","Oct 22, 2017 12:46:44.369504000 CEST","23.211.10.90","192.168.1.142","443","1506"
"94","Oct 22, 2017 12:46:44.369540000 CEST","192.168.1.142","23.211.10.90","54406","66"
"95","Oct 22, 2017 12:46:44.369580000 CEST","23.211.10.90","192.168.1.142","443","1506"
"96","Oct 22, 2017 12:46:44.369616000 CEST","192.168.1.142","23.211.10.90","54406","66"
