frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"89","Oct 22, 2017 12:46:46.512054000 CEST",,,"80","436"
"90","Oct 22, 2017 12:46:46.512083000 CEST",,,"50106","86"
"91","Oct 22, 2017 12:46:46.512561000 CEST",,,"80","94"
"92","Oct 22, 2017 12:46:46.512638000 CEST",,,"59408","86"
"93","Oct 22, 2017 12:46:46.514050000 CEST",,,"80","94"
"94","Oct 22, 2017 12:46:46.514142000 CEST",,,"50108","86"
"95","Oct 22, 2017 12:46:46.514719000 CEST",,,"80","86"
"96","Oct 22, 2017 12:46:46.515060000 CEST",,,"80","1506"
"97","Oct 22, 2017 12:46:46.515123000 CEST",,,"50104","86"
"98","Oct 22, 2017 12:46:46.515262000 CEST",,,"80","436"
"99","Oct 22, 2017 12:46:46.515309000 CEST",,,"50104","86"
"100","Oct 22, 2017 12:46:46.519628000 CEST",,,"80","94"
"101","Oct 22, 2017 12:46:46.519745000 CEST",,,"59406","86"
"102","Oct 22, 2017 12:46:46.519785000 CEST",,,"80","94"
"103","Oct 22, 2017 12:46:46.519824000 CEST",,,"59412","86"
"104","Oct 22, 2017 12:46:46.519842000 CEST",,,"80","94"
"105","Oct 22, 2017 12:46:46.519874000 CEST",,,"59410","86"
"106","Oct 22, 2017 12:46:46.521611000 CEST",,,"59408","521"
"107","Oct 22, 2017 12:46:46.525744000 CEST",,,"59420","94"
"108","Oct 22, 2017 12:46:46.525893000 CEST",,,"59422","94"
"109","Oct 22, 2017 12:46:46.529841000 CEST",,,"80","86"
"110","Oct 22, 2017 12:46:46.534497000 CEST",,,"59410","523"
"111","Oct 22, 2017 12:46:46.534663000 CEST",,,"59412","523"
"112","Oct 22, 2017 12:46:46.535924000 CEST",,,"80","94"
"113","Oct 22, 2017 12:46:46.535982000 CEST",,,"59422","86"
"114","Oct 22, 2017 12:46:46.538016000 CEST",,,"80","94"
"115","Oct 22, 2017 12:46:46.538106000 CEST",,,"59420","86"
"116","Oct 22, 2017 12:46:46.547423000 CEST",,,"80","86"
"117","Oct 22, 2017 12:46:46.547632000 CEST",,,"80","86"
"118","Oct 22, 2017 12:46:46.566415000 CEST",,,"80","832"
"119","Oct 22, 2017 12:46:46.566532000 CEST",,,"59408","86"
"120","Oct 22, 2017 12:46:46.579581000 CEST",,,"80","832"
"121","Oct 22, 2017 12:46:46.579666000 CEST",,,"59410","86"
"122","Oct 22, 2017 12:46:46.579816000 CEST",,,"80","832"
"123","Oct 22, 2017 12:46:46.579867000 CEST",,,"59412","86"
"124","Oct 22, 2017 12:46:46.915231000 CEST",,,"59408","521"
"125","Oct 22, 2017 12:46:46.962710000 CEST",,,"80","832"
"126","Oct 22, 2017 12:46:46.962783000 CEST",,,"59408","86"
"127","Oct 22, 2017 12:46:47.329081000 CEST",,,"50048","520"
"128","Oct 22, 2017 12:46:47.329206000 CEST",,,"50036","520"
"129","Oct 22, 2017 12:46:47.352747000 CEST",,,"80","1506"
"130","Oct 22, 2017 12:46:47.352821000 CEST",,,"80","631"
"131","Oct 22, 2017 12:46:47.352873000 CEST",,,"50036","86"
"132","Oct 22, 2017 12:46:47.352984000 CEST",,,"80","1506"
"133","Oct 22, 2017 12:46:47.353030000 CEST",,,"80","631"
"134","Oct 22, 2017 12:46:47.353072000 CEST",,,"50048","86"
"135","Oct 22, 2017 12:46:47.384705000 CEST",,,"50046","520"
"136","Oct 22, 2017 12:46:47.384821000 CEST",,,"50050","520"
"137","Oct 22, 2017 12:46:47.389708000 CEST",,,"80","86"
"138","Oct 22, 2017 12:46:47.389845000 CEST",,,"80","86"
"139","Oct 22, 2017 12:46:47.391960000 CEST",,,"80","1506"
"140","Oct 22, 2017 12:46:47.392100000 CEST",,,"50050","86"
"141","Oct 22, 2017 12:46:47.392348000 CEST",,,"80","631"
"142","Oct 22, 2017 12:46:47.392432000 CEST",,,"50050","86"
"143","Oct 22, 2017 12:46:47.392845000 CEST",,,"80","1506"
"144","Oct 22, 2017 12:46:47.392942000 CEST",,,"50046","86"
"145","Oct 22, 2017 12:46:47.393014000 CEST",,,"80","631"
"146","Oct 22, 2017 12:46:47.393070000 CEST",,,"50046","86"
"147","Oct 22, 2017 12:46:47.407434000 CEST","192.168.1.142","93.184.220.29","35396","74"
"148","Oct 22, 2017 12:46:47.407910000 CEST","192.168.1.142","93.184.220.29","35402","74"
"149","Oct 22, 2017 12:46:47.423726000 CEST","93.184.220.29","192.168.1.142","80","74"
"150","Oct 22, 2017 12:46:47.423823000 CEST","192.168.1.142","93.184.220.29","35396","66"
"151","Oct 22, 2017 12:46:47.423890000 CEST","93.184.220.29","192.168.1.142","80","74"
"152","Oct 22, 2017 12:46:47.423936000 CEST","192.168.1.142","93.184.220.29","35402","66"
"153","Oct 22, 2017 12:46:47.484926000 CEST","192.168.1.142","93.184.220.29","35402","505"
"154","Oct 22, 2017 12:46:47.498106000 CEST","93.184.220.29","192.168.1.142","80","66"
"155","Oct 22, 2017 12:46:47.498709000 CEST","93.184.220.29","192.168.1.142","80","854"
"156","Oct 22, 2017 12:46:47.498763000 CEST","192.168.1.142","93.184.220.29","35402","66"
"157","Oct 22, 2017 12:46:47.571604000 CEST",,,"50036","520"
"158","Oct 22, 2017 12:46:47.571703000 CEST",,,"50048","520"
"159","Oct 22, 2017 12:46:47.577563000 CEST",,,"80","1506"
"160","Oct 22, 2017 12:46:47.577694000 CEST",,,"80","631"
"161","Oct 22, 2017 12:46:47.577745000 CEST",,,"50048","86"
"162","Oct 22, 2017 12:46:47.578820000 CEST",,,"80","1506"
"163","Oct 22, 2017 12:46:47.578894000 CEST",,,"80","631"
"164","Oct 22, 2017 12:46:47.578936000 CEST",,,"50036","86"
